name,url,summary
"Betekenisvol ouder worden in een dynamisch
                          zorglandschap (deeltijd)",https://minoren-han.nl/en/621-betekenisvol-ouder-worden-in-een-dynamisch-zorglandschap-deeltijd,"This program focuses on enhancing understanding of elder care needs across physical, mental, and social dimensions. It equips participants with skills in self-management, communication, interprofessional collaboration, research, leadership, and quality monitoring within a dynamic care landscape, utilizing relevant technologies and domains such as healthcare and social work."
"Betekenisvol ouder worden in een dynamisch
                          zorglandschap (voltijd)",https://minoren-han.nl/en/622-betekenisvol-ouder-worden-in-een-dynamisch-zorglandschap-voltijd,"The minor ""Significant Aging in a Dynamic Care Landscape"" focuses on developing skills to support elderly individuals across various life domains, emphasizing methodical thinking, interprofessional collaboration, personalized communication, and evidence-based practices. The program employs lectures, group work, practical exercises, and simulations to achieve these objectives."
Bewegingsagogiek,https://minoren-han.nl/en/416-bewegingsagogiek,"The ""Bewegingsagogiek"" minor focuses on movement therapy and sport, aiming to enhance cognitive, social-emotional, and motor development in children and young adults with mobility impairments. Key objectives include designing interventions and programs tailored to their needs, supported by practical assignments and stages, with assessments through tests and a detailed action plan."
Bio-Nanotechnologie,https://minoren-han.nl/en/524-bio-nanotechnologie-2,"The Bio-Nanotechnology program focuses on developing both theoretical and practical expertise in nanoparticle synthesis, modification, and functionalization. Students gain hands-on experience using techniques like confocal microscopy (CLSM), dynamic light scattering (DLS), and scanning electron microscopy (SEM) to analyze nanoparticles. The program emphasizes multidisciplinary collaboration and prepares students for roles in fields such as biomedicine and drug delivery systems."
Bio-Nanotechnology,https://minoren-han.nl/en/525-bio-nanotechnology,"The Bio-Nanotechnology Minor focuses on nanoparticle synthesis, modification, and analysis, integrating biomedical engineering and chemistry through hands-on research and multidisciplinary teamwork to address applications in medical technologies."
Biobased Innovations,https://minoren-han.nl/en/469-biobased-innovations,"The Biobased Innovations minor at HAN focuses on developing sustainable designs and materials within a biobased, circular economy. Students gain expertise in multidisciplinary teamwork, leveraging technologies like mycelium for applications such as insulation, while exploring aspects of sustainability, legislation, and project management."
"Biomedical Research: Cancer and Developmental
                          Biology",https://minoren-han.nl/en/623-biomedical-research-cancer-and-developmental-biology,"**Summary:**  
This program focuses on understanding the molecular mechanisms linking body development to tumorigenesis, using BLM melanoma cells and *C. elegans*. It explores key areas of cancer biology, developmental biology, genetics, and molecular techniques, equipping students with skills in experimental design, analysis, lab management, reporting, and teamwork, while utilizing tools like PCR and gene expression analysis."
Biomedical Research: Neuroimmunology,https://minoren-han.nl/en/613-biomedical-research-neuroimmunology,"This minor focuses on neurobiology and advanced immunology, exploring brain function, inflammation, and immune mechanisms in diseases like neurodegenerative and inflammatory conditions. Students develop research skills through experimental design, data analysis, and project-based work, utilizing techniques such as flow cytometry and molecular biology methods. The program prepares students for professional roles in biomedical research with a focus on cutting-edge developments at the Donders Institute."
Biotechnology,https://minoren-han.nl/en/570-biotechnology,"**Summary:**  
This Biotechnology minor at Han University equips students with hands-on experience in molecular biology, upstream, and downstream processing through practical projects. Key technologies include CRISPR-Cas systems, fermentation techniques, and purification methods, aiming to develop skills in experimental design, analysis, management, and teamwork for careers in biotech."
Bouwfysica in de Praktijk,https://minoren-han.nl/en/588-bouwfysica-in-de-praktijk,"**Summary: Bouwfysica in de Praktijk**

This program offers a practical focus on building physics, emphasizing sustainable design, energy efficiency, and healthy environments. It involves hands-on experience with construction engineering, exposure to current challenges like the energy transition, and opportunities for networking through guest lectures and excursions. Key technologies include sustainable materials and energy-efficient solutions in built environments."
Brand Activation,https://minoren-han.nl/en/654-brand-activation,"This program equips students with branding expertise, focusing on brand management, design thinking, and creating interactive brand activations. Key technologies include Adobe Creative Cloud tools for digital and physical brand designs, with an emphasis on marketing and communication strategies."
"Circulaire Economie, duurzaam ondernemen
                          (deeltijd)",https://minoren-han.nl/en/499-circulaire-economie-duurzaam-ondernemen-deeltijd,"**Circular Economy, Sustainable Entrepreneurship (Part-time)**  
This part-time program at HAN focuses on developing skills in circular economy practices, sustainable entrepreneurship, and innovation. Students gain expertise in using sustainable materials, designing circular products, managing lean processes, and creating sustainable logistics solutions. Collaboration with stakeholders and ethical considerations are emphasized through practical projects and real-world challenges. The curriculum also enhances competencies like analyzing, evaluating, persuading, debating, presenting, and reflecting."
"Circulaire Economie, duurzaam ondernemen (voltijd)",https://minoren-han.nl/en/500-circulaire-economie-duurzaam-ondernemen-voltijd,"**Program Summary:**

This full-time minor emphasizes sustainable business practices and circular economy innovation through practical projects and collaboration with industry partners. Key areas include ethical decision-making, sustainable material use, circular design, lean management, sustainable logistics, new client propositions, and long-term service/lease contracts."
Co-Create Urban Transition - NL (voltijd),https://minoren-han.nl/en/509-co-create-urban-transition-nl-voltijd,"**Summary:**  
This part-time program (30 credits) focuses on creating sustainable urban and rural transitions by integrating living, welfare, and care. It emphasizes co-creation, participatory planning, and interdisciplinarity, using tools like project management and digital solutions. The program is ideal for students aiming to address complex societal challenges through collaborative projects and practical assignments."
Coachen van medewerkers,https://minoren-han.nl/en/438-coachen-van-medewerkers,"The minor ""Coachen van medewerkers"" focuses on developing individual and team coaching skills for professionals in sectors such as care, education, or welfare, utilizing tools like communication models and psychological theories. It is designed to enhance students' ability to support employees and teams effectively."
Complexe Zorg,https://minoren-han.nl/en/612-complexe-zorg,"**Summary:**

The Complexe Zorg minor is a full-time program in Dutch, located in Nijmegen, designed for students pursuing Bachelor's degrees in healthcare fields. It focuses on developing expertise in managing complex care situations across various settings, including hospitals, home care, and mental health services. Key technologies include robotics, domotics, wearables, VR, and apps. The curriculum emphasizes theoretical knowledge through expert lectures, practical skills via group projects and simulations, visits to iXperium Health for tech insights, and ethical debates. This program prepares students to handle challenging cases with a focus on interprofessional collaboration and ethical considerations, ensuring they are well-equipped for future careers in complex care."
Contentmarketing met AI,https://minoren-han.nl/en/616-contentmarketing-met-ai,"**Contentmarketing met AI** is a specialized minor at HAN, Nijmegen, focusing on leveraging AI tools for content creation, online marketing, storytelling, and strategy. Students gain expertise in ethical considerations and practical applications of AI, collaborating on real-world projects with industry partners. The program is designed for those with prior knowledge in content marketing, requiring students to have relevant experience or a stage to enroll."
"Create a High-end Video Game voor
                          Informatica-studenten (voltijd)",https://minoren-han.nl/en/647-create-a-high-end-video-game-voor-informatica-studenten-voltijd,"The ""Create a High-end Video Game"" minor for Informatica students offers a comprehensive approach to game development. Students will gain expertise in both game programming using Unity 3D and C#, as well as game design, with an emphasis on collaboration in multidisciplinary teams to develop a high-quality game."
"Create a High-end Video Game voor Media Designers
                          (voltijd)",https://minoren-han.nl/en/648-create-a-high-end-video-game-voor-media-designers-voltijd,"**Summary:** This program equips students with skills in game design and art, focusing on creating high-end video games. It emphasizes collaboration in multidisciplinary teams and utilizes tools like 3D Studio Max or Maya for modeling, audio creation, and storytelling, culminating in a collaborative game project. The program is designed for Media Designers and integrates technical and creative disciplines to produce interactive experiences.

**Key Skills:** Game design, 3D modeling, audio integration, storytelling, level design, and teamwork. **Key Technologies:** 3D software (e.g., Maya, 3D Studio Max), audio editing tools, game development environments."
Creatief begeleiden en coachen (deeltijd),https://minoren-han.nl/en/550-creatief-begeleiden-en-coachen-deeltijd,"The course ""Creatief Begeleiden van Cliënten en Teamkwesties"" (Creative Guidance for Clients and Teams) is a specialized course offered by HAN University. Here’s an overview of what it entails:

### Course Overview:
This course focuses on developing skills to guide clients, teams, and groups using creative methods in social work and education. It emphasizes the use of non-verbal and innovative techniques to support individuals and teams in achieving their goals.

### Key Components:
1. **Creative Coaching Methods**:
   - The course introduces three main coaching methods: Socratic, provocative, and narrative coaching.
   - Students learn how to apply these methods in various contexts, such as individual guidance, team dynamics, and complex social work cases.

2. **Practical Application**:
   - The course emphasizes the importance of practical application through real-world case studies and practical assignments.
   - Students are encouraged to experiment with different creative techniques and reflect on their effectiveness.

3. **Examination and Assessment**:
   - Students are assessed through a portfolio of written products, including analyses of practical themes and reflections on their learning journey.
   - There is also a performancetoets (performance test) during the course.

4. **Teaching Methods**:
   - The course combines face-to-face training days with online learning and self-study.
   - Peer feedback and discussions are integral parts of the learning process.

5. **Target Groups**:
   - The course is designed for social workers, educators, healthcare professionals, and anyone involved in team dynamics.

6. **Course Structure**:
   - The course is a block minor, meaning it is offered as a single block per semester.
   - It consists of 12 training days spread over 20 weeks, with a significant focus on self-study and practical work.

7. **Literature and Resources**:
   - Students are provided with recommended readings, such as ""Hoe-boek voor de coach"" (Manual for the Coach) by J. Crasborn and E. Buis, and ""Creativiteit als uitdaging in sociaal werk"" (Creativity as a Challenge in Social Work) by P. Beekers, R. Kroes, and J. van Rosmalen.

### Enrollment:
- **For HAN Students**: You can enroll via Alluris, the university's enrollment system.
- **For Non-HAN Students**: You need to create an account on www.kiesopmaat.nl before enrolling.

If you’re interested in applying or want more details about the course content, feel free to ask!"
Creatief begeleiden en coachen (voltijd),https://minoren-han.nl/en/551-creatief-begeleiden-en-coachen-voltijd,"The minor **""Creatief Begeleiden van Cliënten en Teamkwesties""** (Creative Support of Clients and Teams) is a specialized course offered at HAN University. Below is a summary of the key details:

---

### **Program Overview**
- **Focus**: The minor is designed for students interested in developing skills to support clients and teams using creative methods in social work.
- **Target Audience**: Open to both HAN students (via Alluris) and non-HAN students (via Kiesopmaat.nl).

---

### **Structure and Duration**
- **Lesdagen**: 12 lesdagen (training days), spread over several weeks.
- **Duration**: The program is structured as a block minor, offered once or twice a year. It combines classroom learning with practical assignments and self-study.

---

### **Key Components**
1. **Training Days**:
   - Conducted on Mondays.
   - Topics include creative coaching methods (e.g., Socratic, provocative, narrative), non-verbal communication techniques, and practical application in various contexts (e.g., social work, education).

2. **Practical Work**:
   - Students are required to work on practical assignments, such as analyzing a case study, experimenting with creative techniques, and reflecting on their own learning process.

3. **Self-Study**:
   - Approximately 12 hours per week of self-study, including reading assigned literature (e.g., books by Crasborn & Buis, Beekers et al.).

4. **Assessment**:
   - **Portfolio Toets**: A portfolio submission, which can be submitted on the first Wednesday of the month.
   - **Examen**: The final exam focuses on creative problem-solving and practical application of learned methods.

5. **Methodologies**:
   - Students explore three main coaching approaches: Socratic, provocative, and narrative. These are tailored to the specific context of their work (e.g., social work, education).

---

### **Reading List**
- Crasborn, J. & Buis, E. (2015) *Hoe-boek voor de coach*, Zaltbommel: Uitgeverij Thema.
- Beekers, P., Kroes, R. & Rosmalen, J. van (2017) *Creativiteit als uitdaging in sociaal werk*, Bussum: Uitgeverij Coutinho.

---

### **Practical Requirements**
- Students must have a valid practical learning agreement and be able to work independently on assignments.
- They are expected to reflect critically on their practical experiences and integrate this reflection into their portfolio.

---

### **How to Enroll**
- HAN students can enroll via Alluris: [Log in here](https://han.osiris-student.nl/login).
- Non-HAN students must first create an account on Kiesopmaat.nl:
  - If they don’t have an account, they can start one here: [Create a new account](https://kiesopmaat.nl/my/new_account/).
  - If they already have an account, they can log in directly: [Log in here](https://www.kiesopmaat.nl/my/).

---

### **Why This Minor?**
This minor is ideal for students who want to deepen their understanding of creative methods in social work and develop practical skills to support clients and teams effectively. It combines theoretical knowledge with hands-on experience, making it valuable for those pursuing careers in social work, education, or similar fields.

Let me know if you'd like further details!"
Creatief construeren (voltijd),https://minoren-han.nl/en/234-creatief-construeren-voltijd,"The ""Creatief construeren (voltijd)"" minor at HAN in Arnhem focuses on developing advanced construction skills through creative design projects and practical tasks. It emphasizes structural engineering, computational analysis using tools like FEM software, teamwork, and critical evaluation, preparing students for roles as constructors or further technical education."
Creativiteitsontwikkeling (deeltijd),https://minoren-han.nl/en/62-creativiteitsontwikkeling-deeltijd,"The ""Creativiteitsontwikkeling (deeltijd)"" program at HAN University is a part-time course designed to foster creativity and innovation. It focuses on developing creative thinking skills through non-verbal media such as drama, dance, photography, film, and visual arts. The program prepares students to apply these creative methods in professional settings, aiding in personal growth and career development across various fields."
Creativiteitsontwikkeling (voltijd),https://minoren-han.nl/en/60-creativiteitsontwikkeling-voltijd,"The Creativity and Art at Work minor at Han University is designed to enhance students' creative abilities within their professional contexts. Structured as a block-based program, it offers both Dutch and English tracks, suitable for students of various academic backgrounds.

**Key Features:**
- **Objective:** To help students find joy in life and work, experience novel learning, push personal boundaries, understand creativity processes, value new creation, develop collaboration skills, and integrate creativity into their future career.
- **Structure:** Block format, once or twice annually. Typically taken during the third or fourth year by level 3 eligible students.
- **Curriculum:** Covers play, improvisation, design thinking, and experimental learning through workshops, group projects, self-study, and an exam involving presentations and a vision statement.
- **Assessment:** Involves creative development test, quiz, pilot project, and final exam on personal transformation and career integration of creativity.

**Application Process:**
- HAN students apply via Alluris; others need to create an account on Kiesopmaat.nl. Existing accounts can be used or new ones created.

This minor is ideal for students seeking a transformative experience that bridges creativity with professional development, preparing them to approach their careers with fresh perspectives and innovative solutions."
Creativity and Art at Work,https://minoren-han.nl/en/63-creativity-and-art-at-work,"**Program Summary:**  
""Creativity and Art at Work"" is a one-semester, English-language minor at Han University in Nijmegen, designed to empower students to become creative professionals. It combines drama, visual arts, music, and creative techniques to explore the role of artistic media in fostering creativity and innovation.

**Key Elements:**  
- Focus on using artistic and playful media for professional growth.
- Emphasis on experimentation and personal development through hands-on projects.
- Encourages collaboration and co-creation within a supportive environment.
- Tailored for students across various disciplines, including Social Studies, Education, Therapy, and more."
Criminologie en Strafrecht,https://minoren-han.nl/en/189-criminologie-en-strafrecht,"The ""Criminologie en Strafrecht"" minor is a full-time program (30 EC) for HBO-Rechten students, focusing on criminology and criminal law. It aims to develop analytical, advising, and decision-making skills while exploring legal frameworks and practical aspects of crime prevention, justice, and prosecution. Key domains include rights of suspects, police procedures, sentencing, and special laws like the Wegenverkeerswet and Opiumwet. The program combines lectures, guest speakers, field trips, and group projects, with assessments through exams, presentations, and project work."
Crisismanagement in de zorg,https://minoren-han.nl/en/543-crisismanagement-in-de-zorg,"**Program Summary:** The Crisismanagement in de Zorg minor is a part-time program designed for students preparing for leadership roles in healthcare or social services. It focuses on crisis readiness, scenario planning, communication strategies, and reflective leadership skills, with an emphasis on practical learning through simulations and case studies. The program is suitable for those studying Management in Health Care, Social Work, Business Studies, or working in zorg/welzijn organizations."
Dans! Living-as-Art,https://minoren-han.nl/en/577-dans-living-as-art,"**Summary:**  
This minor focuses on leveraging dance and movement to enhance personal and professional growth. It combines creative expression, body-awareness techniques (e.g., Laban Movement Analysis, yoga), and exploration of social connections through movement. Key technologies include various dance styles and tools for reflection, with an emphasis on developing skills like self-awareness, emotional regulation, and personal leadership."
Data Driven Decision Making in Business,https://minoren-han.nl/en/523-data-driven-decision-making-in-business,"This program equips students with data-driven decision-making skills, bridging the gap between managers and data scientists. It focuses on applying tools such as Python, Tableau, Power BI, and AI techniques to solve real-world business challenges."
De betekenisvolle leraar (deeltijd),https://minoren-han.nl/en/258-de-betekenisvolle-leraar-deeltijd,"This part-time minor for Education students focuses on enhancing teaching skills through drama, film, and ICT. It aims to develop practical teaching methods, reflection, and integration of these tools into professional practice, with an emphasis on innovative lesson design and presentation abilities. Key domains include Drama/Theater, Film Studies, and Information and Communication Technologies (ICT)."
"De leraar in het MBO, een veelzijdige professional
                          (deeltijd)",https://minoren-han.nl/en/502-de-leraar-in-het-mbo-een-veelzijdige-professional-deeltijd,"This part-time MBO teacher education program prepares students to become versatile educators by deepening their expertise and critical thinking skills in teaching within a dynamic society. It focuses on professional development, career guidance, and integrating theoretical knowledge with practical teaching experiences in the MBO sector, utilizing relevant resources and tools."
De oncologische cliënt (deeltijd),https://minoren-han.nl/en/640-de-oncologische-client-deeltijd,"**Summary:** The part-time ""Oncologische cliënt"" program at HAN in Nijmegen focuses on advanced oncology nursing. It prepares students to manage complex oncological cases, emphasizing patient-centered care, quality of life, and positive health approaches. Key skills include clinical reasoning, communication, shared decision-making, and intercultural care. The program requires prior healthcare experience and knowledge of anatomy/pathophysiology, with exams focusing on critical thinking and practical application in oncology practice."
De oncologische cliënt (voltijd),https://minoren-han.nl/en/262-de-oncologische-client-voltijd,"**Oncology Minor Program Summary**

**Target Audience:**
The minor is designed for students with an affinity for oncology, particularly those in healthcare fields such as Verpleegkunde (Nursing), Fysiotherapie (Physical Therapy), MBRT (Medical Radiologist Technician), and BMH (Midwifery).

**Program Structure:**
The program is divided into two parts:
1. **Theoretical Component:** Covers foundational oncology topics, including cancer types, prevention, diagnostics, palliative care, psychosocial aspects, intercultural considerations, and quality of life improvement.
2. **Practical Component:** Offers hands-on experience through clinical placements or projects. Students in their third year may intern at institutions like hospitals or hospices, with potential opportunities internationally.

**Content Highlights:**
- In-depth analysis of seven major cancers (Breast, Lung, Skin, Prostate, Head/Neck, Digestive Tract, Hematological).
- Focus on prevention and early detection.
- Exploration of diagnostic and treatment modalities.
- Emphasis on psychosocial support and palliative care.

**Practical Experience:**
- For third-year Verpleegkunde students at HAN, internships may be arranged through the university.
- Non-HAN students or those not in their third year must secure their own placements, which could include international opportunities.

**Assessment Methods:**
- Theoretical knowledge is assessed via written exams (kennistoets) throughout the year.
- Practical skills are evaluated through performance tests and presentations.

**University Partnerships:**
HAN has partnerships with healthcare institutions, facilitating clinical placements. There's a mention of potential collaborations in Ghana, suggesting international placement opportunities.

This program aims to provide students with a holistic understanding of oncology, blending academic knowledge with practical experience to enhance their professional skills."
DevOps (voltijd),https://minoren-han.nl/en/479-devops-voltijd,"The program equips students with expertise in DevOps practices, focusing on continuous delivery, microservices, and infrastructure management using tools like Docker, Kubernetes, and CI/CD pipelines, preparing them for professional roles in collaborative team environments."
Digital Business & Innovation,https://minoren-han.nl/en/389-digital-business-innovation,"The Digital Business & Innovation minor prepares students for careers at the intersection of business and IT. It focuses on addressing digital transformation challenges through big data, privacy, and design thinking, emphasizing skills like project management, communication, and innovation. The program is structured around three themes: trends in IT and business, leadership, and practical projects with organizations. It's designed for students with backgrounds in business or IT, requiring prior professional experience and a minimum of 150 ECs. Assessment includes assignments, assessments, and knowledge tests, using project work and guest lectures to foster learning."
Digital Marketing,https://minoren-han.nl/en/328-digital-marketing,"**Program Summary: Digital Marketing Minor**

**Overview:**  
This minor at HAN University in Nijmegen is a full-time, specialized program designed to deepen students' expertise in digital marketing. It focuses on leveraging tools like Google Analytics, AI, chatbots, and extended reality, alongside various online communication platforms.

**Learning Objectives:**  
Students gain skills in analyzing customer journeys, optimizing website user experience, utilizing analytics tools, integrating AI into marketing strategies, understanding web psychology, creating effective online communications, and developing SEO/SEA (Search Engine Optimization and Search Advertising) strategies. They also prepare real-world projects with clients.

**Target Audience:**  
Ideal for students in Commercial Economics (CE), Communication (CO), or related fields such as CMD, ORM, and BK, who have completed their propedeuse and preferably an internship. The program requires a motivation statement or video as part of the application.

**Examination:**  
Assessment involves creating an advice report, presenting Google certifications, and pitching to a jury and client, ensuring students are prepared for professional roles in digital marketing."
"Digital Media Productions - jouw droomproject
                          (voltijd)",https://minoren-han.nl/en/611-digital-media-productions-jouw-droomproject-voltijd,"**Summary:** This program focuses on developing skills in design research and project development through hands-on workshops and individual projects. Key technologies include AI, 3D modeling, augmented/virtual reality, robotics, game development, web design, video production, and more. Students work on personal projects to create innovative solutions, with an emphasis on user engagement and effective presentation of their work."
Digital Transformation en Innovation (deeltijd),https://minoren-han.nl/en/601-digital-transformation-en-innovation-deeltijd,"The ""Digital Transformation & Innovation"" part-time program at HAN prepares students for navigating digital innovations in their fields by integrating new technologies like data-driven methods, digital twins, or machine learning. It emphasizes creating actionable research plans, collaboration in multidisciplinary teams, and effective communication of results. The key focus areas include continuous exploration of technological advancements and applying these innovations within organizational contexts."
Digital Transformation en Innovation (voltijd),https://minoren-han.nl/en/602-digital-transformation-en-innovation-voltijd,"The Digital Transformation & Innovation minor aims to equip students with skills to develop innovative solutions by leveraging cutting-edge technologies such as 2D/3D visualizations, data-driven approaches, and digital twins. Emphasizing multidisciplinary teamwork, the program focuses on applying these tools for real-world challenges in various domains."
Docent worden in het VO of MBO,https://minoren-han.nl/en/467-docent-worden-in-het-vo-of-mbo,"The program prepares students to become educators in secondary (VO) or middle education (MBO), focusing on developing skills such as teaching, coaching, and creating a supportive learning environment. The curriculum emphasizes theoretical knowledge, including didactical strategies, classroom management, and understanding adolescent development."
Drama en theater in het onderwijs (voltijd),https://minoren-han.nl/en/261-drama-en-theater-in-het-onderwijs-voltijd,"**Summary: Drama en Theater in het Onderwijs (Full-Time)**  
This program focuses on developing skills as a player, designer, and leader in theater, with a strong emphasis on playwriting, directing, and creating theater projects. Key domains include drama, theater, and educational settings. The program is offered full-time in Dutch at HAN University in Nijmegen and targets students from teacher training colleges, PABO, Social Studies, and related fields. It includes practical elements like workshops, theater visits, and stage productions, with assessments based on presentations and performances."
Drug discovery,https://minoren-han.nl/en/516-drug-discovery,"The **Drug Discovery** minor focuses on the early stages of drug development, equipping students with expertise in target identification/validation, assay techniques, high-throughput screening, and compound optimization. It emphasizes a multidisciplinary approach, combining chemistry and biology to address real-life challenges in drug discovery, utilizing technologies like assays, HTS, and automated synthesis."
Dutch Architecture,https://minoren-han.nl/en/308-dutch-architecture,"The Dutch Architecture minor offers a comprehensive exploration of modern Dutch architecture, combining historical insights with hands-on experience using design tools. It emphasizes developing architectural skills through projects and guest lectures, culminating in the ability to communicate effectively with professionals."
"Dutch Architecture meets Dutch Landscape
                          Architecture",https://minoren-han.nl/en/442-dutch-architecture-meets-dutch-landscape-architecture,"**Program Summary: Dutch Architecture meets Dutch Landscape Architecture**

This minor combines architectural and landscape architecture studies, focusing on their historical convergence and contemporary challenges like sustainability. Students will develop skills in site-specific design, using tools and techniques to create integrated designs. The program emphasizes reflective thinking, effective communication, and project management, preparing students for professional practice.

Key domains include Dutch architectural history, sustainability, and integrated design practices. Participants gain competencies in defining projects, designing comprehensively, detailing materials, conducting research, communicating professionally, and managing innovation."
